data_index;split;image_path;question;answer;doc_class;question_type;answer_bbox
1;test_clean;images/1.jpg;Напиши Серия и номер паспорта;4 505 679 944;passport;Серия и номер паспорта;[1420, 280, 1470, 750]
1;test_clean;images/1.jpg;Напиши Фамилия;Карбаинов;passport;Фамилия;[780, 110, 1060, 170]
1;test_clean;images/1.jpg;Напиши Имя;Алексей;passport;Имя;[800, 270, 1010, 330]
1;test_clean;images/1.jpg;Напиши Отчество;Святославович;passport;Отчество;[700, 340, 1100, 410]
1;test_clean;images/1.jpg;Напиши Дата рождения;13.09.1985;passport;Дата рождения;[900, 430, 1160, 490]
1;test_clean;images/1.jpg;Напиши Пол;муж.;passport;Пол;[560, 430, 700, 500]
1;test_clean;images/1.jpg;Напиши Место рождения;Гор. Чердаклы Чердаклинского района Ульяновской области;passport;Место рождения;[600, 510, 1220, 730]
2;test_clean;images/2.jpg;Напиши Серия и номер паспорта;3 301 623 792;passport;Серия и номер паспорта;[1420, 380, 1470, 750]
2;test_clean;images/2.jpg;Напиши Фамилия;Беленкова;passport;Фамилия;[780, 110, 1060, 170]
2;test_clean;images/2.jpg;Напиши Имя;Христина;passport;Имя;[780, 270, 1040, 330]
2;test_clean;images/2.jpg;Напиши Отчество;Несторовна;passport;Отчество;[700, 340, 1100, 410]
2;test_clean;images/2.jpg;Напиши Дата рождения;05.01.1981;passport;Дата рождения;[900, 430, 1160, 490]
2;test_clean;images/2.jpg;Напиши Пол;жен.;passport;Пол;[560, 430, 700, 500]
2;test_clean;images/2.jpg;Напиши Место рождения;Гор. Белая Холуница Кировской обл.;passport;Место рождения;[600, 510, 1220, 650]
3;test_clean;images/3.png;Напиши Номер счет-фактуры;44;invoice;Номер счет-фактуры;[1200, 360, 1250, 400]
3;test_clean;images/3.png;Напиши Дату счет-фактуры;28 сентября 2010;invoice;Дата счет-фактуры;[1500, 360, 2300, 400]
3;test_clean;images/3.png;Напиши кто Продавец;Татэнерго;invoice;Продавец;[700, 470, 1150, 520]
3;test_clean;images/3.png;Напиши кто Покупатель;РАО «Шашков-Меркушев»;invoice;Покупатель;[700, 820, 1500, 870]
4;test_clean;images/4.png;Напиши Номер счет-фактуры;89;invoice;Номер счет-фактуры;[1200, 360, 1250, 400]
4;test_clean;images/4.png;Напиши Дату счет-фактуры;12 февраля 2025;invoice;Дата счет-фактуры;[1500, 360, 2300, 400]
4;test_clean;images/4.png;Напиши кто Продавец;Группа М.Видео-Эльдорадо;invoice;Продавец;[700, 470, 1150, 520]
4;test_clean;images/4.png;Напиши кто Покупатель;НПО «Зуев, Фадеев и Рогова»;invoice;Покупатель;[700, 820, 1500, 870]
